epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,21876.2,0.77143,0.77069,1.14067,0.82815,0.78915,0.85292,0.66334,0.84006,0.68152,1.14062,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,22122.7,0.76465,0.76201,1.13444,0.82617,0.79127,0.85287,0.66383,0.84004,0.68082,1.14083,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,22370.1,0.75813,0.75294,1.13043,0.82722,0.79057,0.85298,0.66397,0.83969,0.68019,1.14067,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,22616.7,0.75467,0.7458,1.12969,0.82956,0.78869,0.85295,0.66412,0.83969,0.67945,1.14085,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,22864.6,0.75387,0.74662,1.13077,0.83285,0.78764,0.85292,0.66386,0.83991,0.67853,1.14122,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,23112.4,0.7421,0.72859,1.11961,0.83241,0.78841,0.85306,0.66396,0.84006,0.67743,1.14147,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,23397.3,0.74164,0.72838,1.12294,0.83243,0.78774,0.8532,0.66356,0.84023,0.67658,1.14166,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,23647.2,0.73902,0.72081,1.11773,0.83374,0.78627,0.85301,0.66376,0.84043,0.67553,1.14188,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,23940.8,0.73221,0.71342,1.11361,0.8337,0.78546,0.85321,0.6638,0.8406,0.67407,1.14213,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,24204.4,0.72635,0.70696,1.11159,0.83471,0.78479,0.85339,0.66405,0.84079,0.67314,1.14241,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,24453.3,0.72408,0.70278,1.11051,0.83508,0.78515,0.85328,0.66399,0.84101,0.67208,1.14264,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,24700,0.728,0.70335,1.11149,0.83317,0.78658,0.85332,0.66428,0.84076,0.6714,1.1423,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,24946.9,0.71851,0.68919,1.10437,0.83337,0.78654,0.85327,0.66408,0.84109,0.6706,1.14272,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,25192.8,0.71791,0.69359,1.10582,0.83441,0.78538,0.85321,0.66414,0.84134,0.66968,1.14297,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,25493.6,0.71498,0.68877,1.10533,0.83379,0.78559,0.85322,0.66419,0.84147,0.66867,1.14307,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,25773.9,0.70928,0.67864,1.09957,0.83127,0.78781,0.85321,0.66454,0.84158,0.66765,1.14333,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,26040.1,0.70156,0.66728,1.09558,0.8307,0.78762,0.85337,0.66419,0.84188,0.66701,1.14361,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,26338,0.70712,0.67608,1.09991,0.82977,0.78887,0.85335,0.66404,0.84209,0.66679,1.14387,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,26585,0.70118,0.66658,1.09652,0.82771,0.79181,0.85314,0.66437,0.84253,0.66612,1.14428,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,26834.1,0.69576,0.65495,1.08773,0.82772,0.79328,0.85298,0.66429,0.8424,0.6652,1.14429,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,27081,0.69519,0.65312,1.09016,0.82625,0.79399,0.85287,0.66422,0.84264,0.66461,1.14454,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,27330.1,0.6902,0.65151,1.08616,0.83004,0.79048,0.85273,0.66411,0.84285,0.66433,1.14482,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,27578.1,0.68715,0.64892,1.08911,0.83176,0.78994,0.85268,0.66407,0.84298,0.66383,1.14511,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,27826.4,0.68014,0.63662,1.0813,0.83371,0.78895,0.85228,0.66371,0.84324,0.66315,1.14557,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,28073.9,0.67884,0.63659,1.08066,0.83048,0.79247,0.85257,0.66404,0.84327,0.6626,1.14553,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,28320.1,0.67131,0.62723,1.07702,0.83083,0.79238,0.8526,0.66394,0.84349,0.66218,1.14567,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,28567.8,0.66767,0.61362,1.0743,0.83819,0.7874,0.85258,0.66368,0.84363,0.66162,1.14585,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,28815.2,0.66687,0.62042,1.07404,0.836,0.78827,0.85242,0.66386,0.84393,0.66135,1.1461,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,29069.2,0.6674,0.61883,1.07534,0.83409,0.78886,0.85215,0.66372,0.84414,0.66109,1.14637,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,29317.3,0.66088,0.61115,1.0704,0.83009,0.79228,0.85223,0.66368,0.84429,0.66121,1.14658,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,29565.4,0.66243,0.61134,1.07198,0.83528,0.78751,0.85209,0.66357,0.84458,0.66122,1.14698,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,29813.2,0.65425,0.59796,1.0661,0.8358,0.78729,0.85191,0.6634,0.84505,0.66121,1.14753,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,30061.5,0.6561,0.60304,1.0675,0.83531,0.78863,0.8517,0.66326,0.84538,0.66141,1.14775,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,30307.2,0.64584,0.5912,1.06284,0.83311,0.79023,0.8515,0.66308,0.84556,0.66189,1.14805,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,30556.2,0.64553,0.59287,1.0609,0.83896,0.78487,0.85123,0.66308,0.84598,0.66233,1.14863,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,30803,0.64294,0.58646,1.05946,0.84375,0.78138,0.85106,0.66271,0.84671,0.66248,1.14942,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,31050.7,0.64175,0.58774,1.06102,0.84055,0.78415,0.85099,0.66267,0.84712,0.66259,1.1499,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,31299.4,0.64025,0.58291,1.05923,0.84117,0.78409,0.85109,0.66286,0.8479,0.66271,1.1509,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,31546.2,0.63329,0.57403,1.05316,0.84004,0.7855,0.85112,0.66264,0.84816,0.66335,1.15123,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,31792.9,0.63152,0.57016,1.05287,0.83807,0.7878,0.85068,0.66243,0.84847,0.66388,1.15176,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,32038.1,0.62708,0.57188,1.05171,0.83992,0.78674,0.85008,0.66248,0.84875,0.66469,1.15223,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,32286.6,0.63114,0.57423,1.05444,0.84014,0.78676,0.84989,0.66185,0.84917,0.66526,1.15279,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
126,32532.6,0.62444,0.56578,1.05061,0.83986,0.78633,0.84964,0.66159,0.84936,0.66588,1.1531,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
127,32781.3,0.62157,0.55812,1.04766,0.84428,0.78364,0.84954,0.66139,0.84983,0.66689,1.1536,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
128,33030.2,0.62023,0.56025,1.04939,0.84425,0.78425,0.8494,0.66091,0.85015,0.66783,1.15407,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292
129,33275.2,0.6193,0.55732,1.04718,0.84185,0.78554,0.84939,0.66088,0.85064,0.66851,1.15469,0.00184868,0.000616227,0.00184868,0.000616227,0.00184868,0.000616227,0.00184868,0.000616227
