epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,3936.47,1.09354,1.44674,1.45158,0.72395,0.63638,0.71067,0.49755,1.07119,1.12061,1.40294,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,4031.13,1.08928,1.43644,1.45106,0.74824,0.62341,0.71648,0.50213,1.06642,1.10997,1.39845,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,4126.38,1.07477,1.42539,1.43891,0.73868,0.64327,0.71914,0.50419,1.06211,1.10284,1.39416,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,4223.29,1.07675,1.41214,1.4385,0.73951,0.64774,0.72037,0.50776,1.05552,1.09663,1.38895,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,4318.03,1.07099,1.40152,1.43612,0.73847,0.65087,0.7231,0.51069,1.05228,1.08901,1.38671,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,4412.76,1.07131,1.39722,1.43304,0.73532,0.65429,0.72529,0.51226,1.05087,1.08272,1.38413,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,4507.33,1.07022,1.38002,1.42779,0.73569,0.65447,0.72587,0.51236,1.05079,1.07934,1.38152,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,4603.09,1.06383,1.37243,1.42427,0.74313,0.6484,0.72708,0.51366,1.0487,1.07252,1.3788,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,4699.54,1.057,1.3483,1.41651,0.73244,0.66131,0.72995,0.51684,1.04542,1.06769,1.37494,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,4796.22,1.05272,1.34319,1.41556,0.73438,0.66294,0.73035,0.5186,1.04385,1.0633,1.3728,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,4890.78,1.04893,1.33598,1.41311,0.73399,0.66548,0.73271,0.52028,1.042,1.05912,1.37126,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,4985.87,1.0457,1.32986,1.40849,0.74657,0.65873,0.7341,0.52273,1.0409,1.05573,1.36925,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5081.73,1.0434,1.32115,1.40441,0.75491,0.64958,0.7352,0.52399,1.03863,1.05032,1.36556,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,5176.84,1.0395,1.32358,1.40327,0.75755,0.65296,0.73636,0.52447,1.03758,1.04619,1.36407,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,5274.07,1.03144,1.2996,1.39638,0.74718,0.66486,0.73733,0.52525,1.03612,1.04376,1.36202,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,5371.26,1.02875,1.2917,1.39179,0.75103,0.66445,0.73823,0.52707,1.03517,1.04059,1.36053,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,5468.06,1.0266,1.28235,1.39333,0.74746,0.66766,0.73934,0.52825,1.0343,1.03665,1.35988,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,5562.49,1.02189,1.26788,1.3839,0.75025,0.66794,0.73906,0.52835,1.03313,1.03257,1.35846,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,5659.52,1.01814,1.26733,1.38331,0.75625,0.66495,0.74027,0.52965,1.03195,1.02977,1.35686,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,5756.15,1.01613,1.24734,1.37637,0.75642,0.66713,0.7411,0.53041,1.03102,1.02696,1.35572,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,5852.44,1.00881,1.24518,1.37255,0.75773,0.66633,0.74199,0.53131,1.03028,1.02515,1.35461,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,5949.89,1.00934,1.24458,1.37495,0.7547,0.66802,0.74243,0.53186,1.02918,1.02311,1.3535,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,6045.93,1.00316,1.22604,1.36738,0.75166,0.67111,0.74329,0.53282,1.02829,1.02084,1.35225,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,6140.98,0.99985,1.22656,1.36777,0.75661,0.66788,0.74371,0.53314,1.0278,1.01879,1.35165,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,6236.67,0.99297,1.21798,1.35976,0.74696,0.67701,0.74418,0.53383,1.02718,1.01684,1.35081,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,6332.23,0.99349,1.2067,1.35908,0.75469,0.67114,0.74435,0.53426,1.02629,1.01469,1.34977,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,6428.28,0.98436,1.19933,1.35359,0.75557,0.67151,0.74523,0.53515,1.02542,1.01285,1.34885,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,6522.16,0.98552,1.19286,1.35434,0.75456,0.67428,0.74557,0.53532,1.0246,1.01147,1.34788,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,6616.8,0.97791,1.17726,1.34911,0.76496,0.66672,0.74552,0.53562,1.02407,1.01006,1.3472,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,6710.52,0.98049,1.17981,1.34898,0.76446,0.66705,0.74592,0.53615,1.02352,1.00876,1.34631,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,6803.08,0.97273,1.16695,1.34291,0.76858,0.66577,0.74623,0.53659,1.02314,1.00734,1.34581,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,6896.85,0.96913,1.15451,1.34041,0.76817,0.66623,0.74658,0.53669,1.02242,1.00626,1.34495,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,6990.55,0.964,1.15247,1.337,0.7693,0.66618,0.74729,0.53725,1.02195,1.00478,1.34434,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,7084.24,0.96173,1.14323,1.33385,0.76849,0.66721,0.74766,0.53763,1.02121,1.00354,1.34344,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,7178.48,0.9602,1.14203,1.3323,0.77124,0.66667,0.74782,0.53779,1.02089,1.00209,1.34286,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,7274.43,0.95649,1.12711,1.33251,0.76223,0.67048,0.74792,0.53807,1.02041,1.00095,1.34227,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,7371.02,0.94862,1.12234,1.32284,0.76586,0.66946,0.74851,0.53858,1.01995,0.9998,1.34159,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
